"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2020","905.23","907.56","913.42","903.32","3.34B","-0.26%"
"05/06/2020","907.56","912.01","916.01","904.27","2.58B","-0.49%"
"05/05/2020","912.01","905.79","922.07","905.79","2.54B","0.69%"
"05/04/2020","905.79","934.24","934.24","897.06","2.45B","-3.05%"
"04/30/2020","934.24","897.54","939.72","897.54","4.18B","4.09%"
"04/29/2020","897.54","885.71","898.06","884.26","2.44B","1.34%"
"04/28/2020","885.71","881.65","887.11","876.41","2.65B","0.46%"
"04/27/2020","881.65","876.22","888.28","871.86","2.09B","0.62%"
"04/24/2020","876.22","900.48","900.54","876.22","2.65B","-2.69%"
"04/23/2020","900.48","893.91","910.17","893.91","2.98B","0.73%"
"04/22/2020","893.91","875.05","898.72","859.92","2.97B","2.16%"
"04/21/2020","875.05","893.42","893.42","871.64","2.38B","-2.06%"
"04/20/2020","893.42","906.72","915.71","893.42","2.67B","-1.47%"
"04/17/2020","906.72","868.78","907.76","868.78","3.26B","4.37%"
"04/16/2020","868.78","905.17","905.17","864.66","3.10B","-4.02%"
"04/15/2020","905.17","925.99","936.16","900.20","3.70B","-2.25%"
"04/14/2020","925.99","904.86","925.99","904.86","3.26B","2.34%"
"04/13/2020","904.86","910.68","912.92","895.53","2.41B","-0.64%"
"04/09/2020","910.68","904.93","915.84","888.34","3.62B","0.63%"
"04/08/2020","904.93","941.48","941.92","893.68","3.02B","-3.88%"
"04/07/2020","941.48","950.61","993.27","927.36","6.33B","-0.96%"
"04/06/2020","950.61","903.83","950.61","903.83","4.64B","5.18%"
"04/03/2020","903.83","879.45","903.83","879.49","3.66B","2.77%"
"04/02/2020","879.45","862.16","879.45","842.88","3.15B","2.01%"
"04/01/2020","862.16","876.95","900.33","856.35","3.04B","-1.69%"
"03/31/2020","876.95","847.89","887.90","847.89","3.10B","3.43%"
"03/30/2020","847.89","882.30","882.30","825.77","1.97B","-3.90%"
"03/27/2020","882.30","833.22","924.05","833.22","5.60B","5.89%"
"03/26/2020","833.22","731.03","841.85","730.56","5.97B","13.98%"
"03/24/2020","731.03","745.28","781.62","725.92","3.35B","-1.91%"
"03/23/2020","745.28","797.01","797.01","744.28","2.14B","-6.49%"
"03/20/2020","797.01","773.27","811.93","725.71","4.96B","3.07%"
"03/19/2020","773.27","827.89","827.89","771.86","1.67B","-6.60%"
"03/18/2020","827.89","861.39","866.61","818.00","2.76B","-3.89%"
"03/17/2020","861.39","920.66","922.68","860.47","2.20B","-6.44%"
"03/16/2020","920.66","974.31","973.48","917.31","2.01B","-5.51%"
"03/13/2020","974.31","969.66","984.97","904.93","3.48B","0.48%"
"03/12/2020","969.66","999.98","1,001.06","969.66","2.51B","-5.94%"
"03/11/2020","1,030.90","1,046.57","1,054.95","1,019.79","2.62B","-1.22%"
"03/10/2020","1,043.62","1,024.89","1,058.97","1,024.88","2.48B","2.17%"
"03/09/2020","1,021.43","1,072.62","1,072.62","1,021.32","2.63B","-7.91%"
"03/06/2020","1,109.21","1,126.54","1,127.15","1,109.21","1.80B","-3.01%"
"03/05/2020","1,143.63","1,156.89","1,163.00","1,136.10","2.17B","-0.24%"
"03/04/2020","1,146.34","1,113.76","1,147.29","1,111.84","2.84B","3.06%"
"03/03/2020","1,112.27","1,092.92","1,121.22","1,092.51","2.68B","3.59%"
"03/02/2020","1,073.77","1,097.77","1,107.17","1,073.17","2.49B","-2.13%"
"02/28/2020","1,097.13","1,087.29","1,097.99","1,056.68","3.38B","-1.56%"
"02/27/2020","1,114.49","1,146.63","1,147.47","1,109.51","2.30B","-3.00%"
"02/26/2020","1,148.95","1,166.24","1,166.48","1,148.95","2.31B","-2.17%"
"02/25/2020","1,174.43","1,172.51","1,181.08","1,164.80","2.23B","-0.35%"
"02/24/2020","1,178.60","1,186.46","1,191.64","1,174.47","2.39B","-1.48%"
"02/21/2020","1,196.33","1,209.76","1,210.71","1,193.85","2.10B","-1.15%"
"02/20/2020","1,210.23","1,210.04","1,214.65","1,206.83","2.20B","0.30%"
"02/19/2020","1,206.58","1,200.70","1,207.27","1,200.70","2.05B","0.76%"
"02/18/2020","1,197.44","1,190.86","1,204.63","1,190.44","2.11B","0.31%"
"02/17/2020","1,193.76","1,193.10","1,197.67","1,190.14","1.55B","-0.01%"
"02/14/2020","1,193.92","1,191.22","1,200.13","1,187.70","1.69B","-0.10%"
"02/13/2020","1,195.12","1,206.90","1,208.59","1,193.31","1.77B","-0.78%"
"02/12/2020","1,204.49","1,213.47","1,214.75","1,201.66","1.84B","-0.68%"
"02/11/2020","1,212.74","1,215.62","1,218.68","1,211.00","1.46B","0.02%"
"02/10/2020","1,212.49","1,221.93","1,222.72","1,207.45","2.04B","-0.91%"
"02/07/2020","1,223.63","1,223.43","1,226.43","1,220.93","1.97B","0.04%"
"02/06/2020","1,223.18","1,229.38","1,231.61","1,219.91","2.21B","0.04%"
"02/05/2020","1,222.71","1,217.64","1,222.71","1,208.35","1.99B","1.17%"
"02/04/2020","1,208.57","1,212.26","1,213.23","1,203.88","2.28B","1.14%"
"02/03/2020","1,194.96","1,201.83","1,209.20","1,191.12","2.03B","-1.00%"
"01/31/2020","1,207.04","1,239.97","1,240.54","1,207.04","2.73B","-2.25%"
"01/30/2020","1,234.81","1,255.64","1,255.69","1,234.20","1.93B","-1.29%"
"01/29/2020","1,250.97","1,252.71","1,259.86","1,249.25","2.19B","0.12%"
"01/28/2020","1,249.45","1,246.53","1,250.59","1,234.73","2.62B","-0.27%"
"01/27/2020","1,252.82","1,278.38","1,278.64","1,251.85","2.80B","-2.07%"
"01/24/2020","1,279.28","1,277.60","1,282.67","1,275.42","1.82B","-0.01%"
"01/23/2020","1,279.35","1,278.27","1,281.31","1,273.84","1.99B","0.31%"
"01/22/2020","1,275.39","1,278.31","1,283.00","1,274.04","2.53B","-0.16%"
"01/21/2020","1,277.38","1,279.52","1,281.02","1,272.17","2.21B","-0.02%"
"01/20/2020","1,277.62","1,293.51","1,294.14","1,276.65","2.29B","-0.83%"
"01/17/2020","1,288.36","1,286.91","1,288.99","1,282.25","2.14B","0.28%"
"01/16/2020","1,284.80","1,282.74","1,289.33","1,277.04","2.43B","0.00%"
"01/15/2020","1,284.76","1,294.50","1,299.89","1,277.45","3.17B","-0.74%"
"01/14/2020","1,294.29","1,289.79","1,294.29","1,287.45","2.62B","0.61%"
"01/13/2020","1,286.42","1,282.96","1,286.42","1,279.38","2.81B","0.55%"
"01/10/2020","1,279.42","1,282.19","1,284.46","1,278.48","3.55B","0.05%"
"01/09/2020","1,278.72","1,270.75","1,278.72","1,269.44","2.54B","1.13%"
"01/08/2020","1,264.47","1,268.36","1,269.33","1,262.69","2.74B","-0.97%"
"01/07/2020","1,276.80","1,274.76","1,277.96","1,268.63","2.31B","0.48%"
"01/06/2020","1,270.71","1,277.30","1,278.89","1,266.78","2.61B","-1.15%"
"01/03/2020","1,285.48","1,280.91","1,285.48","1,276.07","2.61B","0.84%"
"01/02/2020","1,274.74","1,281.05","1,282.02","1,270.57","1.59B","-0.20%"
"12/30/2019","1,277.34","1,286.63","1,288.76","1,277.34","2.76B","-0.73%"
"12/27/2019","1,286.68","1,285.54","1,288.95","1,284.11","2.17B","0.13%"
"12/26/2019","1,284.96","1,282.04","1,287.81","1,282.04","1.83B","0.17%"
"12/23/2019","1,282.82","1,286.18","1,286.27","1,274.62","2.02B","0.28%"
"12/20/2019","1,279.27","1,270.79","1,279.27","1,265.16","2.54B","0.82%"
"12/19/2019","1,268.82","1,275.27","1,277.04","1,265.64","2.43B","-0.78%"
"12/18/2019","1,278.78","1,267.08","1,278.78","1,261.10","2.74B","0.90%"
"12/17/2019","1,267.36","1,262.80","1,267.36","1,257.46","3.26B","0.62%"
"12/16/2019","1,259.56","1,255.83","1,265.10","1,255.83","3.32B","0.30%"
"12/13/2019","1,255.83","1,252.01","1,256.03","1,250.10","2.95B","1.22%"
"12/12/2019","1,240.64","1,250.55","1,254.54","1,240.64","2.92B","-0.68%"
"12/11/2019","1,249.10","1,252.68","1,255.71","1,246.88","2.67B","-0.13%"
"12/10/2019","1,250.76","1,250.56","1,255.22","1,250.03","2.82B","-0.14%"
"12/09/2019","1,252.48","1,252.08","1,256.56","1,248.84","3.39B","0.19%"
"12/06/2019","1,250.11","1,242.69","1,250.11","1,238.51","2.65B","0.79%"
"12/05/2019","1,240.33","1,234.75","1,241.06","1,234.62","2.70B","0.88%"
"12/04/2019","1,229.52","1,232.53","1,234.52","1,226.32","2.19B","-0.52%"
"12/03/2019","1,235.96","1,233.17","1,239.66","1,229.04","2.54B","0.00%"
"12/02/2019","1,235.93","1,211.55","1,235.93","1,211.39","2.64B","2.28%"
"11/29/2019","1,208.34","1,195.42","1,211.35","1,192.21","2.62B","1.01%"
"11/28/2019","1,196.29","1,209.46","1,216.63","1,195.03","2.49B","-1.31%"
"11/27/2019","1,212.13","1,211.64","1,220.57","1,205.87","2.63B","0.04%"
"11/26/2019","1,211.70","1,228.85","1,229.82","1,211.70","4.83B","-0.95%"
"11/25/2019","1,223.27","1,230.52","1,232.53","1,220.28","1.97B","-0.71%"
"11/22/2019","1,232.01","1,236.43","1,238.15","1,229.54","1.87B","-0.39%"
"11/21/2019","1,236.86","1,242.90","1,243.45","1,233.69","1.90B","-0.91%"
"11/20/2019","1,248.16","1,241.90","1,251.07","1,238.62","2.04B","0.16%"
"11/19/2019","1,246.22","1,239.04","1,246.22","1,233.95","1.96B","0.90%"
"11/18/2019","1,235.14","1,237.02","1,239.51","1,230.66","1.71B","-0.19%"
"11/15/2019","1,237.54","1,233.20","1,239.71","1,227.41","1.69B","0.73%"
"11/14/2019","1,228.62","1,237.22","1,239.50","1,219.61","1.87B","-0.80%"
"11/13/2019","1,238.57","1,246.67","1,248.59","1,235.73","2.00B","-0.72%"
"11/12/2019","1,247.58","1,236.58","1,247.58","1,236.05","1.88B","0.60%"
"11/11/2019","1,240.19","1,242.19","1,244.39","1,236.15","1.76B","-0.30%"
"11/08/2019","1,243.97","1,239.07","1,245.68","1,232.31","2.56B","0.40%"
"11/07/2019","1,239.03","1,257.70","1,258.05","1,227.23","3.31B","-1.12%"
"11/06/2019","1,253.05","1,267.60","1,267.69","1,250.82","2.79B","-0.94%"
"11/05/2019","1,264.94","1,246.99","1,264.94","1,245.41","2.78B","1.98%"
"11/04/2019","1,240.43","1,248.95","1,254.92","1,240.43","2.49B","-0.42%"
"11/01/2019","1,245.70","1,252.03","1,252.88","1,242.71","3.22B","-0.56%"
"10/31/2019","1,252.71","1,265.15","1,267.47","1,246.95","3.43B","-1.09%"
"10/30/2019","1,266.56","1,270.65","1,270.95","1,259.38","3.23B","0.13%"
"10/29/2019","1,264.94","1,262.29","1,264.94","1,256.50","3.44B","0.26%"
"10/28/2019","1,261.66","1,259.79","1,264.93","1,256.83","4.01B","0.24%"
"10/25/2019","1,258.58","1,282.67","1,283.88","1,256.35","2.42B","-1.82%"
"10/24/2019","1,281.87","1,262.41","1,281.87","1,261.79","3.58B","1.84%"
"10/23/2019","1,258.68","1,250.59","1,258.68","1,244.29","2.29B","0.62%"
"10/22/2019","1,250.88","1,247.50","1,252.67","1,238.92","2.06B","0.46%"
"10/21/2019","1,245.19","1,246.85","1,251.51","1,242.16","2.06B","0.22%"
"10/18/2019","1,242.51","1,240.86","1,245.28","1,239.05","3.15B","0.23%"
"10/17/2019","1,239.72","1,236.85","1,244.06","1,234.19","2.25B","0.24%"
"10/16/2019","1,236.76","1,236.59","1,239.88","1,230.78","2.59B","0.29%"
"10/15/2019","1,233.21","1,226.50","1,233.48","1,222.57","2.09B","0.62%"
"10/14/2019","1,225.57","1,223.34","1,230.32","1,219.37","1.93B","0.71%"
"10/11/2019","1,216.96","1,200.19","1,218.68","1,200.19","2.09B","1.62%"
"10/10/2019","1,197.56","1,197.67","1,202.57","1,196.71","1.96B","-0.13%"
"10/09/2019","1,199.09","1,200.58","1,204.01","1,197.70","2.01B","-0.33%"
"10/08/2019","1,203.07","1,198.61","1,204.68","1,194.88","2.03B","0.86%"
"10/07/2019","1,192.87","1,212.43","1,213.53","1,190.22","1.90B","-1.25%"
"10/04/2019","1,207.94","1,207.69","1,213.00","1,203.96","2.57B","0.34%"
"10/03/2019","1,203.82","1,202.07","1,206.87","1,192.62","2.76B","-0.36%"
"10/02/2019","1,208.16","1,225.26","1,232.63","1,208.16","2.43B","-1.70%"
"10/01/2019","1,229.02","1,236.15","1,238.42","1,228.84","1.69B","-0.69%"
"09/30/2019","1,237.55","1,240.91","1,242.23","1,231.94","2.00B","-0.41%"
"09/27/2019","1,242.69","1,246.49","1,248.15","1,241.94","1.77B","-0.66%"
"09/26/2019","1,250.95","1,236.58","1,251.36","1,235.54","2.28B","1.66%"
"09/25/2019","1,230.52","1,224.24","1,230.52","1,214.20","2.01B","0.15%"
"09/24/2019","1,228.63","1,242.96","1,244.12","1,224.71","2.36B","-1.53%"
"09/23/2019","1,247.70","1,255.19","1,256.88","1,245.39","2.01B","-0.41%"
"09/20/2019","1,252.83","1,257.93","1,259.61","1,249.11","3.05B","-0.31%"
"09/19/2019","1,256.70","1,265.67","1,267.33","1,256.37","2.12B","-0.76%"
"09/18/2019","1,266.34","1,259.10","1,266.34","1,258.36","2.53B","0.62%"
"09/17/2019","1,258.55","1,252.98","1,259.36","1,249.87","2.38B","0.35%"
"09/16/2019","1,254.12","1,261.82","1,262.46","1,244.66","3.04B","-2.14%"
"09/13/2019","1,281.53","1,290.42","1,292.01","1,277.65","2.61B","-0.12%"
"09/12/2019","1,283.02","1,298.49","1,301.95","1,282.19","2.97B","-0.84%"
"09/11/2019","1,293.86","1,282.28","1,293.86","1,279.76","3.88B","0.86%"
"09/10/2019","1,282.84","1,280.61","1,282.84","1,276.71","2.95B","0.29%"
"09/09/2019","1,279.11","1,279.79","1,281.74","1,273.02","3.15B","0.36%"
"09/06/2019","1,274.54","1,277.28","1,278.73","1,270.66","2.94B","0.27%"
"09/05/2019","1,271.14","1,269.91","1,271.96","1,264.65","2.71B","0.63%"
"09/04/2019","1,263.22","1,264.20","1,264.99","1,255.94","2.68B","0.03%"
"09/03/2019","1,262.79","1,271.51","1,275.81","1,259.03","3.73B","-0.63%"
"09/02/2019","1,270.75","1,283.64","1,285.07","1,269.71","2.67B","-0.95%"
"08/30/2019","1,282.91","1,280.39","1,282.91","1,275.44","2.63B","0.77%"
"08/29/2019","1,273.06","1,274.40","1,278.73","1,271.10","2.68B","0.03%"
"08/28/2019","1,272.62","1,272.78","1,276.39","1,268.53","2.52B","0.23%"
"08/27/2019","1,269.66","1,264.38","1,272.98","1,257.47","3.75B","1.07%"
"08/26/2019","1,256.21","1,246.26","1,256.85","1,234.63","2.45B","-0.55%"
"08/23/2019","1,263.19","1,258.08","1,263.19","1,251.71","2.14B","0.17%"
"08/22/2019","1,261.10","1,263.24","1,265.51","1,253.23","2.23B","-0.07%"
"08/21/2019","1,261.99","1,272.30","1,276.11","1,261.95","2.18B","-0.91%"
"08/20/2019","1,273.64","1,278.21","1,279.34","1,270.32","2.30B","-0.03%"
"08/19/2019","1,274.08","1,277.12","1,281.82","1,269.96","1.95B","0.27%"
"08/16/2019","1,270.61","1,270.29","1,273.64","1,262.26","3.37B","0.17%"
"08/15/2019","1,268.44","1,250.94","1,268.44","1,243.28","3.16B","-0.22%"
"08/14/2019","1,271.27","1,270.40","1,274.70","1,265.10","3.20B","1.03%"
"08/13/2019","1,258.31","1,268.77","1,268.77","1,254.82","2.65B","-0.81%"
"08/12/2019","1,268.58","1,278.54","1,280.23","1,263.99","1.95B","-0.39%"
"08/09/2019","1,273.50","1,279.02","1,283.79","1,273.50","2.48B","0.11%"
"08/08/2019","1,272.12","1,260.43","1,273.24","1,259.66","3.01B","1.38%"
"08/07/2019","1,254.81","1,244.44","1,259.24","1,242.32","3.07B","1.64%"
"08/06/2019","1,234.57","1,229.88","1,246.42","1,211.63","3.77B","-1.16%"
"08/05/2019","1,249.05","1,281.83","1,282.85","1,249.05","3.42B","-3.15%"
"08/02/2019","1,289.71","1,290.00","1,292.91","1,284.44","2.59B","-0.87%"
"08/01/2019","1,300.97","1,301.88","1,306.67","1,297.99","3.10B","-0.18%"
"07/31/2019","1,303.31","1,296.23","1,304.00","1,293.42","2.95B","0.23%"
"07/30/2019","1,300.27","1,289.71","1,300.53","1,289.50","2.87B","1.21%"
"07/29/2019","1,284.68","1,291.46","1,294.35","1,279.80","1.91B","-0.28%"
"07/26/2019","1,288.32","1,300.78","1,302.19","1,284.86","2.99B","-1.41%"
"07/25/2019","1,306.78","1,305.37","1,309.29","1,303.02","4.39B","0.26%"
"07/24/2019","1,303.36","1,309.63","1,311.05","1,302.56","6.30B","-0.28%"
"07/23/2019","1,307.06","1,313.18","1,314.90","1,304.97","2.94B","-0.26%"
"07/22/2019","1,310.43","1,316.23","1,317.90","1,307.15","3.66B","-0.34%"
"07/19/2019","1,314.91","1,306.62","1,314.91","1,306.62","4.56B","0.93%"
"07/18/2019","1,302.79","1,298.48","1,304.87","1,295.65","4.63B","0.13%"
"07/17/2019","1,301.07","1,299.73","1,301.73","1,296.21","4.82B","-0.03%"
"07/16/2019","1,301.47","1,303.75","1,306.41","1,299.23","3.53B","-0.25%"
"07/15/2019","1,304.70","1,302.47","1,310.70","1,301.53","3.86B","0.91%"
"07/12/2019","1,292.99","1,303.08","1,304.80","1,292.99","3.52B","-0.83%"
"07/11/2019","1,303.86","1,306.49","1,308.28","1,298.58","3.81B","0.09%"
"07/10/2019","1,302.71","1,298.22","1,303.15","1,297.47","2.66B","0.45%"
"07/09/2019","1,296.90","1,287.18","1,296.90","1,287.16","2.38B","0.75%"
"07/08/2019","1,287.27","1,292.22","1,293.66","1,282.40","2.08B","-0.66%"
"07/05/2019","1,295.81","1,295.36","1,298.02","1,291.80","2.61B","-0.02%"
"07/04/2019","1,296.07","1,294.04","1,297.53","1,291.66","3.25B","0.19%"
"07/03/2019","1,293.65","1,292.32","1,297.88","1,286.88","2.83B","-0.35%"
"07/02/2019","1,298.24","1,298.10","1,299.24","1,292.31","3.59B","0.19%"
"07/01/2019","1,295.79","1,295.07","1,298.24","1,292.59","3.19B","0.53%"
"06/28/2019","1,288.99","1,290.95","1,293.89","1,286.42","2.15B","0.15%"
"06/27/2019","1,287.09","1,279.03","1,288.32","1,278.41","2.66B","0.93%"
"06/26/2019","1,275.20","1,278.56","1,281.96","1,273.66","4.06B","-0.19%"
"06/25/2019","1,277.65","1,278.22","1,280.22","1,273.94","3.28B","0.46%"
"06/24/2019","1,271.85","1,277.82","1,280.14","1,269.91","3.39B","-0.63%"
"06/21/2019","1,279.85","1,287.31","1,289.16","1,267.36","3.26B","-0.42%"
"06/20/2019","1,285.21","1,290.07","1,292.21","1,277.88","2.73B","-0.24%"
"06/19/2019","1,288.25","1,275.60","1,288.25","1,275.60","3.19B","1.68%"
"06/18/2019","1,266.93","1,250.69","1,266.93","1,250.68","2.29B","1.40%"
"06/17/2019","1,249.45","1,266.93","1,267.36","1,249.45","2.24B","-1.18%"
"06/14/2019","1,264.43","1,271.62","1,275.44","1,260.80","1.70B","-0.46%"
"06/13/2019","1,270.28","1,273.31","1,273.66","1,263.72","2.25B","-0.10%"
"06/12/2019","1,271.57","1,268.68","1,274.74","1,266.32","2.22B","-0.53%"
"06/11/2019","1,278.30","1,275.11","1,280.67","1,266.10","2.43B","0.19%"
"06/10/2019","1,275.86","1,272.75","1,287.26","1,272.47","3.05B","1.71%"
"05/31/2019","1,254.36","1,229.82","1,254.36","1,229.81","2.74B","2.14%"
"05/29/2019","1,228.09","1,217.26","1,231.42","1,215.94","2.04B","1.48%"
"05/28/2019","1,210.14","1,228.02","1,232.23","1,210.14","4.24B","-1.39%"
"05/27/2019","1,227.25","1,215.20","1,230.32","1,214.63","1.95B","0.97%"
"05/24/2019","1,215.45","1,211.85","1,220.97","1,210.02","1.60B","0.52%"
"05/23/2019","1,209.18","1,185.70","1,211.62","1,185.20","2.08B","2.08%"
"05/22/2019","1,184.52","1,187.53","1,191.86","1,179.43","1.16B","-0.32%"
"05/21/2019","1,188.34","1,184.20","1,199.96","1,183.13","2.40B","0.77%"
"05/20/2019","1,179.27","1,159.63","1,186.21","1,145.79","2.16B","1.59%"
"05/17/2019","1,160.81","1,188.02","1,189.80","1,160.81","2.08B","-1.52%"
"05/16/2019","1,178.71","1,196.39","1,205.87","1,176.98","1.93B","-1.72%"
"05/15/2019","1,199.36","1,226.73","1,229.74","1,199.36","2.64B","-1.79%"
"05/14/2019","1,221.23","1,219.81","1,228.42","1,208.89","2.51B","-1.06%"
"05/13/2019","1,234.36","1,255.36","1,257.42","1,234.36","1.83B","-1.33%"
"05/10/2019","1,250.97","1,250.60","1,256.56","1,236.04","2.24B","0.12%"
"05/09/2019","1,249.44","1,259.79","1,263.12","1,248.03","2.46B","-1.41%"
"05/08/2019","1,267.34","1,264.69","1,267.34","1,257.34","2.50B","-0.57%"
"05/07/2019","1,274.56","1,268.95","1,278.58","1,268.04","2.46B","0.78%"
"05/06/2019","1,264.75","1,262.09","1,265.62","1,250.55","2.06B","-1.15%"
"05/03/2019","1,279.51","1,291.75","1,291.98","1,266.78","2.66B","-1.11%"
"05/02/2019","1,293.82","1,314.67","1,316.46","1,291.11","2.74B","-1.53%"
"04/30/2019","1,313.93","1,310.04","1,314.69","1,307.97","2.97B","0.55%"
"04/29/2019","1,306.79","1,298.11","1,308.31","1,294.31","2.18B","0.40%"
"04/26/2019","1,301.53","1,288.85","1,301.53","1,282.10","1.73B","0.50%"
"04/25/2019","1,295.01","1,306.59","1,308.71","1,290.27","2.67B","-1.38%"
"04/24/2019","1,313.07","1,316.32","1,319.54","1,309.59","2.34B","-0.30%"
"04/23/2019","1,317.01","1,305.76","1,321.37","1,303.85","3.02B","0.97%"
"04/22/2019","1,304.30","1,328.13","1,328.93","1,301.96","2.00B","-1.72%"
"04/18/2019","1,327.09","1,345.38","1,362.46","1,323.16","3.79B","0.40%"
"04/16/2019","1,321.84","1,311.48","1,322.61","1,310.36","2.40B","0.91%"
"04/15/2019","1,309.98","1,309.61","1,312.21","1,304.42","1.91B","0.46%"
"04/12/2019","1,303.94","1,300.76","1,307.22","1,300.57","1.81B","-0.07%"
"04/11/2019","1,304.83","1,320.70","1,321.66","1,304.83","1.85B","-1.40%"
"04/10/2019","1,323.41","1,320.85","1,323.74","1,316.69","2.21B","0.04%"
"04/09/2019","1,322.89","1,312.92","1,324.13","1,311.01","2.43B","0.94%"
"04/08/2019","1,310.53","1,320.72","1,321.71","1,299.58","2.20B","-0.65%"
"04/05/2019","1,319.06","1,325.72","1,326.54","1,319.06","2.12B","-0.37%"
"04/04/2019","1,323.97","1,321.59","1,325.03","1,319.19","2.48B","0.46%"
"04/02/2019","1,317.89","1,319.23","1,322.57","1,311.95","2.18B","0.39%"
"04/01/2019","1,312.76","1,320.06","1,321.70","1,312.76","2.29B","-0.21%"
"03/29/2019","1,315.49","1,316.45","1,317.91","1,307.67","2.46B","-0.07%"
"03/28/2019","1,316.40","1,311.42","1,316.40","1,308.45","2.09B","0.71%"
"03/27/2019","1,307.18","1,318.30","1,319.19","1,307.12","1.87B","-0.63%"
"03/26/2019","1,315.45","1,306.91","1,315.45","1,306.45","1.84B","1.27%"
"03/25/2019","1,298.92","1,313.80","1,314.85","1,295.18","2.34B","-2.16%"
"03/22/2019","1,327.65","1,327.69","1,329.61","1,322.82","1.89B","0.18%"
"03/21/2019","1,325.24","1,323.63","1,327.71","1,320.65","2.96B","0.46%"
"03/20/2019","1,319.17","1,319.07","1,321.54","1,314.49","2.33B","0.14%"
"03/19/2019","1,317.29","1,326.15","1,327.77","1,315.65","2.21B","-0.55%"
"03/18/2019","1,324.51","1,319.12","1,325.04","1,316.71","2.79B","0.83%"
"03/15/2019","1,313.62","1,303.36","1,320.85","1,303.21","3.52B","0.93%"
"03/14/2019","1,301.49","1,291.64","1,301.49","1,291.11","2.56B","0.71%"
"03/13/2019","1,292.35","1,284.71","1,292.98","1,282.72","2.15B","0.37%"
"03/12/2019","1,287.58","1,297.15","1,299.12","1,284.89","2.21B","-0.13%"
"03/11/2019","1,289.22","1,300.53","1,300.78","1,289.07","2.13B","-0.13%"
"03/08/2019","1,290.88","1,303.41","1,305.13","1,290.88","2.65B","-1.33%"
"03/06/2019","1,308.29","1,311.76","1,313.24","1,302.04","2.24B","0.14%"
"03/05/2019","1,306.50","1,318.80","1,318.82","1,299.64","2.45B","-0.99%"
"03/04/2019","1,319.56","1,324.15","1,330.97","1,319.56","2.22B","-0.18%"
"03/01/2019","1,321.90","1,314.92","1,323.60","1,313.33","2.22B","1.05%"
"02/28/2019","1,308.12","1,328.38","1,328.38","1,305.74","4.29B","-1.50%"
"02/27/2019","1,328.05","1,329.90","1,332.76","1,322.19","3.47B","-0.32%"
"02/26/2019","1,332.31","1,327.28","1,332.31","1,319.31","4.70B","0.43%"
"02/25/2019","1,326.64","1,328.34","1,331.04","1,323.25","3.91B","0.30%"
"02/22/2019","1,322.69","1,328.50","1,331.55","1,317.84","3.25B","-0.83%"
"02/21/2019","1,333.77","1,326.85","1,334.49","1,322.97","3.69B","0.48%"
"02/20/2019","1,327.45","1,329.25","1,336.41","1,319.70","3.45B","0.42%"
"02/19/2019","1,321.94","1,327.10","1,334.35","1,321.94","2.87B","-0.33%"
"02/18/2019","1,326.32","1,309.83","1,327.91","1,309.54","2.85B","2.08%"
"02/15/2019","1,299.27","1,307.84","1,309.11","1,293.83","3.53B","-0.54%"
"02/14/2019","1,306.28","1,311.46","1,314.51","1,303.50","3.98B","-0.19%"
"02/13/2019","1,308.76","1,318.05","1,320.12","1,304.94","4.46B","-0.32%"
"02/12/2019","1,312.97","1,330.17","1,331.95","1,303.72","4.50B","-1.13%"
"02/11/2019","1,328.00","1,335.80","1,337.87","1,328.00","2.33B","-0.54%"
"02/08/2019","1,335.25","1,334.05","1,336.93","1,329.92","2.51B","-0.37%"
"02/07/2019","1,340.17","1,346.22","1,347.57","1,335.41","3.35B","-0.28%"
"02/06/2019","1,344.00","1,335.96","1,346.99","1,335.96","3.81B","1.05%"
"02/04/2019","1,330.00","1,349.63","1,353.02","1,328.93","3.10B","-1.41%"
"02/01/2019","1,349.05","1,350.43","1,357.63","1,342.23","3.21B","0.28%"
"01/31/2019","1,345.29","1,335.96","1,347.68","1,335.61","5.86B","1.25%"
"01/30/2019","1,328.62","1,323.78","1,329.23","1,319.95","4.11B","0.55%"
"01/29/2019","1,321.37","1,326.27","1,333.41","1,319.89","4.13B","-0.46%"
"01/28/2019","1,327.42","1,335.48","1,338.36","1,321.14","5.43B","-0.48%"
"01/25/2019","1,333.85","1,331.47","1,337.18","1,330.16","5.06B","0.33%"
"01/24/2019","1,329.45","1,325.94","1,332.30","1,324.04","5.99B","0.27%"
"01/23/2019","1,325.92","1,328.55","1,335.71","1,325.78","5.28B","-0.51%"
"01/22/2019","1,332.77","1,328.37","1,332.77","1,319.08","4.83B","0.37%"
"01/21/2019","1,327.89","1,327.93","1,332.89","1,325.40","5.08B","0.00%"
"01/18/2019","1,327.83","1,327.55","1,328.84","1,317.48","4.54B","0.44%"
"01/17/2019","1,322.03","1,321.26","1,329.58","1,318.34","5.35B","0.22%"
"01/16/2019","1,319.09","1,320.50","1,322.30","1,312.22","6.39B","0.06%"
"01/15/2019","1,318.25","1,302.42","1,318.25","1,298.35","5.79B","1.45%"
"01/14/2019","1,299.46","1,303.62","1,305.23","1,291.16","4.37B","-0.53%"
"01/11/2019","1,306.35","1,304.20","1,306.35","1,300.44","4.22B","0.57%"
"01/10/2019","1,299.00","1,289.10","1,299.00","1,281.30","7.74B","1.23%"
"01/09/2019","1,283.24","1,290.61","1,293.78","1,281.87","6.22B","0.12%"
